Inputs,True Keywords,True Keywords in Abstract,Predictions,Precision,Recall
"Recent criticisms of the concept of opportunities either ignore the natural evolution of conceptual definitions in all the social sciences (Davidsson, 2015; Davidsson, Recker, & von Briel, 2020) or substitute different words for this concept (Foss & Klein, 2020). Neither tack provides a strong justification for abandoning the concept of opportunity in the field of entrepreneurship. Indeed, the concept of opportunities has forced entrepreneurship scholars to be clearer about their assumptions, has focused attention on Knightian uncertainty and the process of forming and exploiting opportunities, and links entrepreneurship research with some theories in the field of strategic management. It seems likely that opportunities will continue as an important concept in the field of entrepreneurship for some time.","['nan', 'STRATEGIC MANAGEMENT', 'DECISION-MAKING', 'UNCERTAINTY', 'APPROPRIATION', 'EPISTEMOLOGY', 'PROBABILITY', 'DISCOVERY', 'PROMISE', 'FIRMS']","['strategic management', 'uncertainty']","['entrepreneurship', 'uncertainty']",0.5,0.5
This paper addresses the multi-channel strategies deployed in the European retail grocery industry. It classifies the strategies based on an analysis of the on-line activities of 25 European retail grocers and further investigates the diversity captured in the classification in terms of two factors that are assumed to influence multi-channel strategy choices: the individual retailer's general marketing strategy and national market structures.,"['electronic commerce', 'e-tail', 'grocery retailing', 'multi-channel strategy', 'on-line retailing', 'RESOURCE-BASED VIEW', 'ELECTRONIC COMMERCE', 'INTERNET', 'TRUST', 'MANAGEMENT', 'BUSINESS']",['multi channel strategy'],[],0,0.0
"During the 1980s, many conglomerates and other diversified firms reduced their diversification by refocusing on their core businesses. This paper provides an economic explanation for this phenomenon and empirically tests the hypotheses that emerge from the analysis. It is shown that refocusing is associated ex post with profitability improvements.","['DIVERSIFICATION', 'RESTRUCTURING', 'REFOCUSING', 'PERFORMANCE', 'MARKET-STRUCTURE', 'TOBIN-Q', 'FIRM', 'TAKEOVERS', 'STRATEGY', 'HYPOTHESIS', 'INVESTMENT', '1980S']","['diversification', 'refocusing', 'firm', '1980s']",[],0,0.0
"This article discusses the emerging research concerned with sustainable development and entrepreneurship, which is the focus of this special issue of the Journal of Business Venturing. Entrepreneurship has been recognized as a major conduit for sustainable products and processes, and new ventures are being held up as a panacea for many social and environmental concerns. However, there remains considerable uncertainty regarding the nature of entrepreneurship's role and how it may unfold. We begin with an overview of sustainable development and the role of entrepreneurship and outline recent contributions exploring this role. We then summarize the papers presented in this special issue and conclude with suggestions for further research. (C) 2010 Elsevier Inc. All rights reserved.","['Entrepreneurship', 'Sustainable development', 'Economic transformation', 'CREATIVE DESTRUCTION', 'ENTERPRISE', 'PERFORMANCE', 'INNOVATION', 'GROWTH', 'IDEA']","['entrepreneurship', 'sustainable development']","['sustainable development', 'entrepreneurship']",1.0,1.0
"An archival study of the airline and trucking industries over a ten-year period and a laboratory study revealed that greater past success led to greater strategic persistence after a radical environmental change, and such persistence induced performance declines. The laboratory study also demonstrated that dysfunctional persistence is due to greater satisfaction with past performance, more confidence in the correctness of current strategies, higher goals and self-efficacy, and less seeking of information from critics.","['nan', 'ORGANIZATIONAL-CHANGE', 'MANAGERIAL DISCRETION', 'PERFORMANCE', 'MODEL', 'INERTIA', 'CONSEQUENCES', 'DEREGULATION', 'ANTECEDENTS', 'FEEDBACK', 'MOMENTUM']",['performance'],"['satisfaction', 'efficacy']",0.0,0.0
"Recent studies suggest the relationship between dynamic capabilities and competitive advantage may be jointly affected by organizational and environmental factors. We enrich this nascent perspective by developing a configurational theoretical framework - underpinned by the mechanism of strategic fit - wherein dynamic capabilities lead to a competitive advantage when they support a strategic orientation appropriate for the levels of dynamism and munificence in the environment. Results of a fuzzy-set Qualitative Comparative Analysis using primary data show that dynamic capabilities lead to a competitive advantage in dynamic, munificent environments by enabling the combination of differentiation and low-cost orientations. In stable, non-munificent environments, dynamic capabilities are effective in support of a low-cost orientation. The central insight of this study is that the relationship between dynamic capabilities and competitive advantage is contingent upon the strategic fit between organizational and environmental factors, contributing to a more rigorous and configurational dynamic capabilities view.","['configurational theory', 'dynamic capabilities', 'environmental dynamism', 'environmental munificence', 'fuzzy-set analysis', 'strategic fit', 'strategic orientation', 'ORGANIZATIONAL PERFORMANCE', 'MARKETING CAPABILITIES', 'FINANCIAL PERFORMANCE', 'BUSINESS STRATEGIES', 'FIRM PERFORMANCE', 'ENVIRONMENT', 'RECONFIGURATION', 'ORIENTATION', 'RESOURCES', 'POSITION']","['dynamic capabilities', 'strategic fit', 'strategic orientation', 'environment', 'orientation']","['capabilities', 'competitive advantage', 'fit', 'orientation']",0.25,0.2
"Building on a sociolinguistic framework, our research explores the impact of code-switching on the persuasiveness of marketing messages. Code-switching refers to mixing languages within a sentence, a common practice among bilingual consumers. We investigate how responses to different types of code-switched messages can provide insight into bilingual consumers' persuasion processes. A pilot study reveals a code-switching direction effect such that minority-language slogans switching to the majority language result in greater persuasion than majority-language slogans switching to the minority language. The effect is attributed to the salience of the code-switched word in the slogan. Study 1 explores this code-switching direction effect in more detail and shows that when associations toward the minority language are positive, the code-switching direction effect is reversed.","['nan', 'LANGUAGE', 'STUDENTS', 'ENGLISH']",['language'],['persuasion'],0.0,0.0
"In recent years, organizational scholars have increasingly focused on various forms of bad behavior in the workplace. Notable examples of these behaviors include deviance, aggression, antisocial behavior, and violence. Unfortunately, as this body of work has grown, so too has a proliferation of concepts, constructs, and definitions. This article reviews the literature regarding the general set of concepts and constructs relating to bad behavior in organizations. The authors identify both areas of uniqueness as well as areas of overlap among these various concepts and constructs. They also propose a typology to guide future theory development and empirical research.","['deviance', 'aggression', 'antisocial behavior', 'violence', 'dysfunctional behavior', 'WORKPLACE VIOLENCE', 'CITIZENSHIP BEHAVIOR', 'ANTISOCIAL-BEHAVIOR', 'WORK GROUPS', 'AGGRESSION', 'DEVIANCE', 'JUSTICE']","['deviance', 'aggression', 'antisocial behavior', 'violence', 'antisocial behavior', 'aggression', 'deviance']",['bad behavior'],0.0,0.0
"Aggression and violence are of increasing concern to American employees and employers; however, these issues have received limited research attention in the management literature. We focus here on those aggressive actions and violent outcomes that are instigated by factors in the organization Itself, labeled organization-motivated aggression (OMA) and organization-motivated violence (OMV). Specifically, we define the terms OMA and OMV, provide a social learning model of OMA, and present research propositions related to the model.","['nan', 'PERSON-SITUATION DEBATE', 'MODEL', 'LOCUS', 'FRUSTRATION', 'EXPERIENCE', 'VIOLENCE', 'EMOTION', 'ABUSE']","['model', 'violence']",['motivated'],0.0,0.0
"There has been growing interest in both management and marketing regarding how individuals become identified with organizations and how organizations attempt to manage these identifications. The authors present a framework built on explicit and implicit points of convergence in research conducted in both these disciplines. In their review of the management and marketing literatures, the authors suggest three fundamental mechanisms, or bases, for managing organizational identification: relational, behavioral, and symbolic. Furthermore, the authors argue that how an individual is affiliated with an organization will impact the relative influence of these identification management bases. The authors conclude by suggesting how management and marketing scholars can create a theoretical space for future interdisciplinary work. Such a change would involve moving away from employees versus customers as a prime division between the fields and moving toward a more fine-grained approach that emphasizes the unique characteristics of individual-organizational relationships.","['organizational identification', 'affiliation', 'managing identification', 'social identity theory', 'role theory', 'externalization', 'extended self', 'symbols', 'SOCIAL IDENTITY', 'ORGANIZATIONAL IDENTIFICATION', 'COMPANY IDENTIFICATION', 'SELF', 'COMMITMENT', 'FRAMEWORK', 'WORKERS', 'CONSEQUENCES', 'DETERMINANTS', 'MECHANISMS']","['organizational identification', 'organizational identification', 'framework', 'mechanisms']",[],0,0.0
"Studies of international joint ventures yield conflicting results when looking at the role played by cultural distance. We argue that managers understand the problems associated with cultural distance and seek to mitigate its impact by selecting certain types of joint ventures. Using Das and Teng's [Das, T. K., & Teng, B.-S. (2001). A risk-perception model of alliance structuring. Journal of International Management, 7(1): 1-30] typology of unilateral and bilateral alliances to categorize a sample of ventures based on their strategic focus, our results indicate that greater cultural distance is associated with an increased probability that a marketing or supplier alliance will be formed and a lower probability that an innovation-oriented alliance will be formed. (C) 2007 Elsevier Inc. All rights reserved.","['joint venture', 'cultural distance', 'type', 'NATIONAL CULTURE', 'ORGANIZATIONAL CULTURE', 'PERFORMANCE', 'IMPACT', 'CHOICE', 'FRAMEWORK', 'LOCATION', 'ISSUES', 'TRUST', 'FIRMS']","['joint venture', 'cultural distance', 'type', 'impact']","['international joint ventures', 'cultural distance', 'innovation']",0.3333333333333333,0.25
"An analysis of 924 foreign market entries made by a sample of Chinese exporters reveals that psychic distance moderates the relationship between foreign market size and entry sequence. In doing so, this study challenges the extant hypothesis that the establishment of foreign operations conforms to a simple pattern of increasing psychic distance to markets. The findings also reveal that psychic distance is asymmetrical in nature, and that assessments made by sellers and their buyers are inherently inequivalent.","['psychic distance', 'internationalization', 'foreign market entry', 'INTERNATIONALIZATION PROCESS', 'CULTURAL DISTANCE', 'SOCIAL TIES', 'FOREIGN', 'FIRM', 'IDENTIFICATION', 'DETERMINANTS', 'PERFORMANCE', 'INVESTMENT', 'KNOWLEDGE']","['psychic distance', 'foreign']",['psychic distance'],1.0,0.5
"Through a qualitative study of the emergence of unlikely activism from committed members of the Catholic Church, we examine how identification can trigger and shape a change effort. We uncover how crafting split identification allows members to retain their identification with normative aspects of an institution, while disidentifying with, and seeking to change, organizational aspects. Our process model traces how members split their identification, attempt to repair the split by seeking change, and respond when their claimed identification is challenged. We offer implications for identification theory and for literature on change originating inside organizations and institutions.","['nan', 'INSTITUTIONAL ENTREPRENEURSHIP', 'TEMPERED RADICALISM', 'SOCIAL IDENTITY', 'EXPANDED MODEL', 'ORGANIZATIONS', 'WORK', 'FIELDS', 'IMAGE', 'MOVEMENT', 'MYTH']",['organizations'],['organizations'],1.0,1.0
"This paper seeks to identify the sources of wide and persistent variations in learning performance in the semiconductor manufacturing industry. In the resource-based view of the firm, human capital is frequently assumed to contribute to competitive advantage due to its inimitability based on its intangible, firm-specific, and socially complex nature. Consistent with this view, we find that investments in firm-specific human capital have a significant impact on learning and firm performance. More specifically, human capital selection (education requirements and screening), development through training, and deployment significantly improve learning by doing, which in turn improves performance. However, we find that acquiring human capital with prior industry experience from external sources significantly reduces learning performance. We also find that firms with high turnover significantly underperform their rivals, revealing the time-compression diseconomies that protect firm-specific human capital from imitation. These results provide new empirical evidence of the inimitability of human capital. Copyright (C) 2004 John Wiley Sons, Ltd.","['human capital', 'learning', 'resource-based view', 'knowledge management', 'HUMAN-RESOURCE MANAGEMENT', 'PROGRESS FUNCTIONS', 'EXPERIENCE CURVE', 'KNOWLEDGE', 'PRODUCTIVITY', 'PERFORMANCE', 'STRATEGY', 'SYSTEMS', 'CAPABILITIES', 'INTEGRATION']","['human capital', 'learning', 'resource based view', 'performance']","['learning performance', 'resource based view', 'human capital', 'competitive advantage', 'imitation', 'ltd']",0.3333333333333333,0.5
"This article investigates the effect of time pressure on choice deferral. Recent research suggests that the likelihood of deferral is contingent on the ease of making the selection decision (which option to choose) as well as the overall attractiveness of the selected alternative. We focus on how time pressure systematically impacts choice deferral by increasing the use of noncompensatory decision rules in the selection decision and by increasing the relative emphasis placed on the unique features in the deferral decision (whether to choose). Consistent with the hypotheses, we find over a series of five studies that time pressure (1) decreases choice deferral when choice involves high conflict but not when conflict is low:, (2) reduces the impact of shared features on choice deferral, and (3) decreases choice deferral for sets with common bad and unique good features (approach-approach conflict) but not for sets with common good and unique bad features (avoidance-avoidance conflict). We further show that greater attention to the unique features is not a general property of decision making under time pressure but rather a consequence of the primacy of the selection decision over the deferral decision. Consistent with this premise, time pressure did not decrease the relative attention paid to common features when the task was described as purely a deferral decision. The theoretical and practical implications of the findings are discussed.","['nan', 'DECISION-MAKING', 'INFORMATION SEARCH', 'UNIQUE FEATURES', 'RISKY CHOICE', 'CONFLICT', 'ALTERNATIVES', 'ATTRIBUTES', 'JUDGMENTS', 'STRATEGY', 'BRANDS']","['decision making', 'unique features', 'conflict']","['choice deferral', 'conflict']",0.5,0.3333333333333333
"In today's volatile economy, innovation in providing interactive services to consumers through a variety of channels is critical in retailing. Interactive service innovations offer opportunities for retailers by creating new markets or offering new benefits in existing markets. They also pose threats as existing customers encounter new alternatives offered by competitors. This article explores some of the most promising opportunities in interactive retail services; namely, the increasing power of consumers, channel synergies, pre- and post-transaction service, optimal use of resources, and consumer heterogeneity. In discussing these areas of opportunity we identify knowledge gaps and suggest research questions relevant to these gaps that warrant attention. Collectively, these questions offer a research agenda for the topic of interactive retail service innovation. (C) 2010 Direct Marketing Educational Foundation, Inc. Published by Elsevier Inc. All rights reserved.","['Retail', 'Interactive services', 'Innovation', 'SELF-SERVICE', 'CUSTOMER SATISFACTION', 'DYNAMIC-MODEL', 'WEB SITES', 'TECHNOLOGY', 'MANAGEMENT', 'INTERNET', 'IMPACT', 'CONSEQUENCES', 'EMPOWERMENT']","['retail', 'interactive services', 'innovation']","['knowledge', 'retail service innovation']",0.0,0.0
"Previous sexual harassment research and theory have focused primarily upon the individual level, with little attention to team- ororganization-level outcomes., In this article, we extend research on outcomes associated with sexual harassment to the team level with an examination of the relationships between team ambient sexual harassment, team conflict, team cohesion, team citizenship behaviors, and team financial performance. Practical implications and a multilevel model to guide future sexual harassment research are offered.","['nan', 'ORGANIZATIONAL CITIZENSHIP BEHAVIOR', 'INTEGRATED MODEL', 'UNIT-LEVEL', 'ANTECEDENTS', 'CONSEQUENCES', 'CONFLICT', 'CULTURES']",['conflict'],"['conflict', 'cohesion']",0.5,1.0
"In this study, we examined 82 accounts of issue selling to better understand managers' implicit theories for successfully shaping change from below by directing the attention of top management. The study reveals the importance of various issue-selling moves, including packaging, involvement, and timing. Managerial accounts uncover three kinds of contextual knowledge that are critical to the execution of issue-selling moves. The study shows managers actively shaping the issue-selling microprocesses that contribute to organizational change.","['nan', 'TOP MANAGERS', 'STRATEGY', 'PERFORMANCE', 'KNOWLEDGE', 'WORK', 'FIRM', 'BEHAVIOR', 'PATTERNS', 'CONTEXT', 'MODEL']","['knowledge', 'context']","['below', 'organizational']",0.0,0.0
"Metaphors are increasingly recognized as influencing cognition and consumption. While these linkages typically have been qualitatively generated, this article presents a framework of convergent quantitative methodologies that can further document the validity of a metaphor. To illustrate this multimethod framework, the authors explore whether there is a metaphoric link between meat and maleness in Western cultures. The authors address this in six quantifiable studies that involve (1) implicit associations, (2) free associations, (3) indirect-scenario-based inferences, (4) direct measurement profiling, (5) preference and choice, and (6) linguistic analysis and conclude that there is a metaphoric relationship between mammal muscle meat and maleness.","['nan', 'INDIVIDUAL-DIFFERENCES', 'FOOD PREFERENCES', 'CONSUMER', 'ATTITUDES', 'COGNITION', 'INQUIRY', 'GENDER']",['cognition'],[],0,0.0
"This paper describes the editorial and review process currently operating at JMS and offers the Editors' perspective on the journal's growth over the past three years. We first outline what we think is the essence of a JMS article. Then, we describe the review process from the editor's initial decision, to the reviewers' comments, to the editor's final editorial decisions, and including the process of accepting a paper. We suggest four main reasons for rejecting a paper: lack of contribution, failure to develop a theoretical contribution, fatal flaws in methods and deficiencies in analysis. With respect to the journal's progress, we show that JMS has significantly increased its position in the ISI rankings to 19th and its impact factor to 1.180. In addition, the journal experienced a 222 per cent increase in submissions from 2003 to 2005.","['nan', 'VOICE', 'FIRM', 'VIEW']",['view'],['review'],0.0,0.0
"Because of increasing levels of competition and decreasing product life cycles, a firm's ability to generate a continuous stream of innovations may be more important than ever in allowing a firm to improve profitability and maintain competitive advantage This paper investigates several issues that are central to an examination of the innovation productivity in a firm. First, the relationship between a firm's commitment to research and development and its innovative outcomes is examined. Two innovative outcomes are analyzed: (1) invention, which focuses on the development of new ideas; and (2) innovation, the development of commercially viable products or services from creative ideas. Invention is measured by the number of patents granted, and innovation is assessed by the number of new product announcements. Second, because many inventions ultimately result in marketable innovations and because patents may provide protection for new products, the relationship between patents and product announcements is also investigated. Finally, the ability of a firm to benefit from its inventions and innovations is studied by examining their separate effects on firm performance, measured as return on assets (ROA) and sales growth. Drawing from a sample of 272 firms in 35 industries over 19 years, the results from a model of simultaneous equations provided support for some of the hypotheses, but several other surprising findings were found. As expected, R&D spending was positively related to patents. This finding is consistent with others who argue that internal research capabilities, particularly those with a strong basic research component, is key to enabling a firm to generate creative outputs. More surprising was the finding of increasing returns to scale to R&D spending. While this contradicts much of the existing research, it is consistent with economic arguments for the advantages of scale in innovation. Also interesting is the finding that, while a significant curvilinear relationship exists between R&D spending and product announcements, it is not the predicted inverse-U but instead a U-shaped relationship. Consistent with previous work, product announcements were found to be positively related to both performance measures. A negative relationship was found between patents and both ROA and sales growth. While these findings were unexpected, they are intriguing and call into question the value of patents as protection mechanisms. In addition, these results may be resulting from the rise of strategic patenting, where an increasing number of firms are using patents as strategic weapons. As expected, a positive relationship was found between patents and new product announcements.","['nan', 'BASIC RESEARCH', 'BUSINESS PERFORMANCE', 'MARKET', 'STRATEGY', 'TECHNOLOGY', 'KNOWLEDGE', 'PROFITABILITY', 'ADVANTAGE', 'SIZE', 'ENTREPRENEURSHIP']","['basic research', 'market', 'profitability', 'advantage']",[],0,0.0
