Inputs,True Keywords,True Keywords in Abstract,Predictions
"Small businesses continue to gi ow in importance to the national economy. According to the Small Business Administration, America's 22 million small businesses generate more than half of the nation's Gross Domestic Product and are the principal source of new jobs. The National Formation for Women Business Owners reported that between 1987 and 1994, the number of women-owned businesses grew by 78% and women-owned firms accounted for 36% of all firms. Although the growth in the number of women-owned businesses is encouraging the size of such businesses,remains small in terms of both revenues and number of employees, especially in comparison to male-owned businesses. One explanation for this disparity is that female business ownership is concentrated primarily in the retail and service industries where businesses are relatively smaller in terms of employment and revenue as opposed to high technology: construction, and manufacturing. One of the most fruitful streams of research in women's occupational choice has been based on social learning theory. Specifically self-efficacy has been found to relate to both type and number of occupations considered by college men and women, and with regard to traditional and non-traditional occupations. Entrepreneurship researchers have also used social learning theory to study entrepreneurial intentions. This study build's on that background of women's career development and entrepreneurial intentions to examine differences between traditional and non-traditional women business owners. We examine 170 women business owners in various traditional and non-traditional businesses in Utah and Illinois. Questionnaires were the primary method of collecting data, in addition to II in-depth interviews from a sample of the survey respondents. Using a careers perspective, based on social learning theory we hypothesized that women iir these two different categories of industries would differ on levels of self-efficacy toward entrepreneurship or venture efficacy their career expectations and their perceived social support. A second analysis was also clone that explored the relationship between the same independent variables and success or performance of the business. The results offer support for using this integrative model to understand differences between women in traditional and non-traditional industries. The first analysis revealed that significant differences exist between the two groups or? several of the independent variables. Traditional business owners had higher venture efficacy for opportunity recognition, higher career expectations of life balance and security and they reported that the financial support received from others was more important to them than those in non-traditional businesses. On the other hand the nontraditional owners had higher venture efficacy for planning and higher career expectations for money or wealth than the traditional group. The second analysis explored whether success, as measured by safes, was affected by differences in venture efficacies, career expectations, or perceived support received by women in traditional businesses as compared to those in non-traditional ones. This analysis revealed that traditional women business owners might have different factors that contribute to their success than non-traditional owners. Specifically, for the traditional owners, venture efficacies for opportunity recognition and economic management as well as the career expectation of autonomy and money (or wealth) were positively related to sales. For rite same group efficacy toward planning and rite need for security were negatively related to sales. For the non-traditional women, venture efficacy toward planning and the career expectation of autonomy Mere positively related to sales while the expectation of money or wealth was negatively related. Also for the same group the perceived importance of the emotional and financial support was negatively related to sales. In the past, most of the entrepreneurial research has used predominantly male samples of entrepreneurs. Those that include women entrepreneurs,generally are comparative, between,men find women. This study's comparison of two groups of women entrepreneurs offers a unique contribution to the field. Future research is recommended to further understand how venture efficacy and career expectations affect the decision to start a new business in a particular industry. it would he particularly beneficial to study venture, efficacy and career expectations of prospective women entrepreneurs prior to the start of the business. Similarly, greater attention should be given to understanding how venture efficacy develops in different individuals. (C) 1999 Elsevier Science Inc.","['nanPERSON-ORGANIZATION FIT', 'SELF-EFFICACY', 'CAREER-DEVELOPMENT', 'PERFORMANCE', 'SUCCESS', 'SURVIVAL', 'MANAGERS', 'GENDER']","['self efficacy', 'self efficacy', 'career development', 'career development', 'performance', 'success']",business women
"There is strong evidence of racial bias in organizations but little understanding of how it changes with repeated interaction. This study proposes that repeated interaction has the potential to reduce racial bias, but its moderating effects may be limited to the treatment of individuals rather than of entire racial groups. Using data from 2,360 National Basketball Association (NBA) players and 163 coaches from 1955 to 2000, I find that players receive more playing time under coaches of the same race, even though there is no difference in their performance. This racial bias is greatly reduced, however, as the player and the coach spend more time on the same team, suggesting that repeated interaction minimizes coaches' biases toward their players. But it does not reduce coaches' racial biases in general. Even after years of coaching other-race players, coaches still exhibit the same levels of racial bias as they did upon first entering the league. These results suggest that repeated workplace interaction is effective in reducing racial bias toward individuals but not toward groups, making an important contribution to the literature on organizational inequality.","['inequality', 'racial bias', 'discrimination', 'intergroup contact', 'contact hypothesis', 'sportsDEEP-LEVEL DIVERSITY', 'STATISTICAL DISCRIMINATION', 'CONTACT HYPOTHESIS', 'NATURAL EXPERIMENT', 'FIELD EXPERIMENT', 'LABOR-MARKET', 'PERFORMANCE', 'EMPLOYMENT', 'WHITE', 'WORK']","['inequality', 'racial bias', 'racial bias', 'performance', 'work']",bias race workplace
There is much debate about the effect of institutional investors on firm innovation. This paper tests three competing hypotheses by including differences among institutions in their ability to influence firms. Results using an outcome-based measure of innovation indicate that institutions do not foster short-term orientation; instead they may influence firms to increase innovation.,"['institutional investors', 'innovation', 'corporate governanceR-AND-D', 'OWNERSHIP STRUCTURE', 'DIVERSIFICATION STRATEGY', 'MANAGEMENT TURNOVER', 'MULTIPRODUCT FIRMS', 'CORPORATE-CONTROL', 'CONTROL-SYSTEMS', 'ENTROPY MEASURE', 'MARKET', 'IMPACT']","['institutional investors', 'institutional investors', 'innovation']",orientation
"Each year, people in the United States donate more than $200 billion to charitable causes. Despite the lack of understanding of whether and how recognition increases charitable behavior, charities often offer it to motivate donor action. This research focuses on how the effectiveness of recognition on charitable behavior is dependent on the joint influence of two distinct dimensions of moral identity: internalization and symbolization. Three studies examining both monetary donations and volunteering behavior show that recognition increases charitable behavior among those characterized by high moral identity symbolization and low moral identity internalization. Notably, those who show high levels of moral identity internalization are uninfluenced by recognition, regardless of their symbolization. By understanding correlates of the two dimensions of moral identity among donors, nonprofits can strategically recognize potential donors to maximize donation and volunteering behavior.","['charitable behavior', 'recognition', 'moral identity', 'symbolization', 'social reinforcementVOLUNTEERISM', 'FRAMEWORK', 'DONATIONS', 'NORM', 'ACTS']","['charitable behavior', 'charitable behavior', 'recognition', 'moral identity', 'moral identity', 'symbolization', 'donations']",recognition behavior
"This article develops and discusses the concept of customer engagement behaviors (CEB), which we define as the customers' behavioral manifestation toward a brand or firm, beyond purchase, resulting from motivational drivers. CEBs include a vast array of behaviors including word-of-mouth (WOM) activity, recommendations, helping other customers, blogging, writing reviews, and even engaging in legal action. The authors develop a conceptual model of the antecedents and consequences-customer, firm, and societal-of CEBs. The authors suggest that firms can manage CEBs by taking a more integrative and comprehensive approach that acknowledges their evolution and impact over time.","['customer engagement', 'customer loyalty', 'cocreation', 'services marketingWORD-OF-MOUTH', 'LONGITUDINAL ANALYSIS', 'DYNAMIC-MODEL', 'SATISFACTION', 'BRAND', 'ANTECEDENTS', 'IMPACT', 'CONSEQUENCES', 'MANAGEMENT', 'COMMITMENT']","['customer engagement', 'customer engagement', 'brand', 'antecedents', 'impact', 'consequences']",customer engagement behaviors brand motivational drivers word of mouth model
"Purpose - The objective of this paper is to describe a corporate implementation and application of a sustainable business cycle. Design/methodology/approach - The study is based on a single case study of a regional producer of dairy products in Sweden. The data were collected from non-structured interviews with managers and available corporate documentation. Findings - The company's sustainable business cycle may be divided into nine stages beginning with the arable land through to the dairy and transportation of products to market, where the final two stages involve external retailers and consumers, all of which is important to fulfilment of the earlier seven internal stages. Research limitations/implications - The findings stress the importance of connecting and reconnecting not just to immediate environmental concerns of business, but also to planet Earth, which is under non-sustainable pressure and evidently faces an unpleasant destiny. Practical implications - The case highlights advantages and challenges facing a small to medium-sized enterprise (SME) tasked with implementing a sustainable business cycle for a commodity product in a highly competitive market, dominated by powerful retailers. Social implications - Changing consumer behaviours and purchasing patterns, as well as state interventions imposed at top political levels worldwide, will gradually increase the necessity to create sustainable business cycles. Originality/value - The main contribution of this article is to present a rare detailed case study of a sustainable, organic milk supply chain. It highlights the areas where sustainability is effective. It also illustrates the challenge for an SME trying to extend the reach and to create awareness of added value to the consumer. Hopefully some lessons will be learned and emphasized in this case study.","['Sustainability', 'Supply chain', 'Sustainable development', 'Supply chain management', 'Business cycles', 'Dairy products', 'SwedenETHICS']","['sustainability', 'supply chain', 'supply chain', 'business cycles', 'business cycles', 'dairy products', 'dairy products']",business cycle dairy sweden transportation
"This study posits that a local process of creative destruction provides an impetus to regional industrial renewal. We argue that exits of older firms release resources that stimulate local entry. New entrants add value to these resources by redeploying them in more productive uses. We test our hypotheses with a unique longitudinal database encompassing the entry and exit of Canadian manufacturing enterprises. We find that exits of old firms increase entry and that on average new entrants are more productive. Persistent high local rates of exit, however, deter entry. (c) 2007 Published by Elsevier Inc.","['exit', 'entry', 'agglomeration', 'local renewalUNITED-STATES', 'MANUFACTURING-INDUSTRIES', 'ENTREPRENEURIAL ACTIVITY', 'GEOGRAPHIC CONCENTRATION', 'BIOTECHNOLOGY FIRMS', 'COMPETITION', 'LOCATION', 'GROWTH', 'AGGLOMERATION', 'INVESTMENTS']","['exit', 'entry']",creative destruction
"The visual preference heuristic suggests that consumers prefer visual to verbal depiction of information in a product assortment. Images produce greater perceptions of variety than text, which is appealing in assortment selection, but can result in choice complexity and overload when choice sets are large and preferences are unknown, suggesting a moderator for Iyengar and Lepper's results. Eye-tracking results reveal that the natural gestalt processing of individual visual stimuli, as compared to the piecemeal processing of individual textual stimuli, affects the processing of the assortment as a whole with visual (compared to verbal) presentation facilitating a faster, though more haphazard, scanning of the assortment. While the less systematic processing that results from visual presentation feels easier, it is not ideal for larger assortments resulting in higher complexity ratings and choice overload than with text depiction. These findings reveal that, like many heuristics, preference for visual depiction may be overapplied.","['nanINDIVIDUAL-DIFFERENCES', 'CONSUMERS', 'PERCEPTIONS', 'ORGANIZATION', 'CONSISTENCY', 'ACTIVATION', 'EXPERIENCE', 'PICTURES', 'SEARCH', 'IMPACT']","['consumers', 'perceptions']",information images text
"Numerous studies have investigated the impact of review volume and review variance on product price, but their findings are mixed. The perspective of mismatch cost framework (e.g., Sun 2012) argues that, at the market level, the impact of review variance on product price varies with review valence due to diverse product tastes across individuals. The perspective of classic expected utility framework (e.g., Wu and Ayala Gaytan 2013; Wu et al. 2013) further argues that heterogeneous risk attitudes across individuals directly drives the varying impact of both review volume and variance on willingness-to-pay, regardless of review valence. Although both frameworks have gained good empirical support, neither of them probed whether the impact of review volume or review variance varies within an individual. We extend the current research by focusing on the varying impact of review volume on consumers' willingness-to-pay. Combining economic and behavioral theories of decisions under uncertainty, we argue that consumers' preferences of uncertainty can vary both across and within individuals. The extended framework thus concludes that the impact of review volume on consumers' willingness-to-pay not only varies across individuals with different types of uncertainty preferences, but may also change with review valence within an individual of some types of uncertainty preferences. The framework is tested using an experimental study and an empirical study. Results from both studies provide good support for this broader framework. (C) 2016 Direct Marketing Educational Foundation, Inc., dba Marketing EDGE.","['Online user review', 'Willingness-to-pay', 'Prospect theoryWORD-OF-MOUTH', 'PROSPECT-THEORY', 'ONLINE REVIEWS', 'PRODUCT', 'PRICE', 'MODEL', 'REPRESENTATION', 'REPUTATION', 'AMBIGUITY', 'SEARCH']","['willingness to pay', 'willingness to pay', 'willingness to pay', 'product', 'price', 'search']",willingness to pay
"This article examines differences in performance between private companies (POEs) and state owned enterprises (SOEs), with an emphasis on the effects of market structure. The study uses a comprehensive panel covering in principle all registered companies during the 1990s in Norway, a country where SOEs play an important role in regular markets. Return on assets as well as costs relative to sales revenue are used as measures of performance in markets where SOEs and POEs compete with each other. Overall, POEs perform significantly better than SOEs. The study tests the hypothesis that SOE managers may learn from POE managers in environments with stronger competition, but finds only weak empirical support for such a learning mechanism.","['nanCORPORATE GOVERNANCE', 'AGENCY COSTS', 'PRIVATIZATION', 'PERSPECTIVE', 'COMPETITION', 'STRATEGY', 'FIRMS', 'PRIVATISATION', 'INCENTIVES', 'TRANSITION']",['competition'],market competition
"Purpose - The purpose of this paper is to address the management of supply chains within the construction industry. Supply chains in this sector evidence a marked tendency to waste and inefficiency. One approach to improving this situation, which is the subject of intense discussion by both scientists and practitioners, is the establishment of strategic partnerships integrated with the scientific observation of the processes involved. This paper aims to present a case study of such a strategic alliance among German building contractors whose goal it is to cover the entire life cycle of a building, from its planning to its ultimate facility management. The paper seeks to focus on the establishment and implementation of an aggregated strategic alliance and its success factors. Design/methodology/approach - The research methodology is based on a case study of a German network of builders and trade contracting companies. Data collection tools included observation of workshops and meetings, semi-structured interviews and access to key documentation, IT-infrastructure and archives of the network. Findings - Key factors of success in strategic alliances within the construction industry are: central coordination among the partners employing decentralised task management; application of an appropriate IT-solution; and mutual trust among the cooperating partners. Originality/value of paper - While there is growing literature in the field of supply chain management within the construction industry there is less empirical evidence providing practical examples of managing supply chains in this area. Strategic alliances are a crucial requisite for the successful management and integration of services and production within the construction industry.","['Construction industry', 'Supply chain management', 'Strategic alliances', 'Communication technologies', 'Partnershipnan']","['construction industry', 'construction industry', 'supply chain management', 'supply chain management', 'supply chain management', 'strategic alliances', 'strategic alliances']",construction industry supply chain management
